"Rank","City","Traffic Index","Time Index(in minutes)","Time Exp. Index","Inefficiency Index","CO2 Emission Index"
"228","Taipei, Taiwan","123.5","34.6","499.4","120.1","3092.0"
"229","Leeds, United Kingdom","123.2","29.8","101.2","131.8","5155.8"
"230","Halifax, Canada","122.9","31.3","183.5","162.5","4256.5"
"232","Warsaw, Poland","122.7","34.8","533.5","107.0","2959.4"
"234","Bristol, United Kingdom","121.7","31.1","170.6","112.0","4481.9"
"238","Albuquerque, NM, United States","120.0","25.9","26.6","122.8","6055.1"
"242","Liverpool, United Kingdom","118.9","27.8","43.7","180.0","5058.7"
"243","Muscat, Oman","118.6","22.5","22.5","216.6","5864.9"
"245","Ho Chi Minh City, Vietnam","118.5","32.1","234.2","133.0","3553.8"
"246","Bologna, Italy","118.3","32.5","269.1","95.0","3561.8"
"247","Edmonton, Canada","117.5","27.9","45.6","130.9","5103.2"
"249","Chiang Mai, Thailand","115.9","26.2","27.8","105.0","5496.5"
"250","London, Canada","114.9","30.0","111.2","86.7","4226.6"
"252","Minsk, Belarus","114.0","31.4","184.8","97.6","3501.7"
"254","Bremen, Germany","113.7","32.4","264.4","176.7","2675.2"
"255","Nicosia, Cyprus","113.3","27.1","34.2","156.7","4600.6"
"256","Luxembourg, Luxembourg","112.1","27.8","44.2","164.7","4204.4"
"259","Riga, Latvia","111.2","30.2","119.1","119.9","3495.3"
"261","Shenzhen, China","110.5","33.7","387.2","90.9","2264.8"
"262","Cuenca, Ecuador","110.4","34.9","537.5","80.3","1885.8"
"263","Stockholm, Sweden","109.6","34.1","434.4","114.7","1935.2"
"265","Sofia, Bulgaria","109.3","30.5","135.9","99.6","3257.0"
"266","Haifa, Israel","108.7","28.5","57.8","91.3","3981.1"
"269","Zagreb, Croatia","106.9","29.6","92.8","107.2","3282.9"
"270","Davao, Philippines","105.7","27.4","37.7","97.0","3883.0"
"272","Kathmandu, Nepal","105.2","35.2","594.3","106.3","1243.6"
"273","Cluj-Napoca, Romania","105.0","29.9","105.2","110.2","2952.5"
"274","Madrid, Spain","104.9","28.2","52.4","126.4","3387.0"
"275","Yerevan, Armenia","104.4","30.5","135.2","85.0","2806.4"
"279","Hamburg, Germany","103.0","30.5","135.5","130.6","2435.1"
"282","Hanoi, Vietnam","102.1","27.7","43.2","105.2","3311.2"
"283","Bratislava, Slovakia","101.5","30.2","120.9","127.3","2399.5"
"286","Porto, Portugal","100.1","24.7","24.7","108.8","3602.9"
"287","Prague, Czech Republic","99.3","31.8","214.1","77.6","1938.9"
"288","Ljubljana, Slovenia","99.1","26.3","28.6","133.8","3122.8"
"289","Christchurch, New Zealand","98.9","23.4","23.4","83.0","3798.6"
"290","Berlin, Germany","98.9","33.4","354.1","106.4","1323.3"
"292","Barcelona, Spain","98.0","29.8","99.6","118.0","2245.3"
"293","Edinburgh, United Kingdom","97.4","26.2","28.0","126.0","2991.8"
"296","Oslo, Norway","95.4","27.8","44.7","124.0","2478.8"
"299","Munich, Germany","93.7","28.2","52.6","113.5","2264.9"
"301","Reykjavik, Iceland","92.0","20.5","20.5","91.5","3293.7"
"302","Rotterdam, Netherlands","91.9","21.3","21.3","131.9","2976.7"
"304","Malaga, Spain","91.7","25.2","25.3","56.6","2907.9"
"308","Stuttgart, Germany","88.4","25.0","25.0","125.9","2225.1"
"310","Leipzig, Germany","86.8","26.6","30.1","139.4","1840.4"
"312","Vilnius, Lithuania","85.9","25.9","26.8","62.8","2200.2"
"315","Tallinn, Estonia","84.3","24.4","24.4","94.3","2053.6"
"317","Brno, Czech Republic","83.4","26.2","28.0","74.3","1866.2"
"319","Frankfurt, Germany","79.9","22.8","22.8","51.4","2040.6"
"321","Qingdao, Shandong, China","79.6","27.9","45.5","78.8","1305.5"
"325","Amsterdam, Netherlands","77.2","22.8","22.8","140.5","1423.5"
"328","Aachen, Germany","74.1","24.4","24.4","56.6","1386.8"
"332","Vienna, Austria","73.2","22.9","22.9","65.3","1401.6"
"333","Helsinki, Finland","72.6","24.1","24.1","66.5","1254.7"
"337","Banja Luka, Bosnia And Herzegovina","69.6","22.4","22.4","40.9","1299.3"
